,Federal Funds Rate,10Y Treasury Yield,CPI,Core CPI,PCE Price Index,Retail Sales,Unemployment Rate,Non-Farm Payrolls,M2 Money Stock
2020-01-01,1.55,1.76,259.127,266.716,104.419,525411.0,3.6,152031.0,15401.3
2020-02-01,1.58,1.5,259.25,267.37,104.541,525380.0,3.5,152292.0,15453.8
2020-03-01,0.65,0.87,258.076,267.054,104.252,477676.0,4.4,150895.0,15980.6
2020-04-01,0.05,0.66,256.032,265.746,103.817,408312.0,14.8,130424.0,16999.0
2020-05-01,0.05,0.67,255.802,265.412,103.914,484978.0,13.2,133040.0,17868.4
2020-06-01,0.08,0.73,257.042,265.849,104.233,526970.0,11.0,137671.0,18161.5
2020-07-01,0.09,0.62,258.352,267.389,104.564,535644.0,10.2,139255.0,18311.4
2020-08-01,0.1,0.65,259.316,268.422,104.887,540423.0,8.4,140819.0,18382.2
2020-09-01,0.09,0.68,259.997,268.933,105.046,551131.0,7.8,141770.0,18606.8
2020-10-01,0.09,0.79,260.319,269.306,105.106,549271.0,6.9,142461.0,18758.1
2020-11-01,0.09,0.87,260.911,269.981,105.225,544421.0,6.7,142731.0,18973.3
2020-12-01,0.09,0.93,262.045,270.341,105.69,549300.0,6.7,142548.0,19110.3
2021-01-01,0.09,1.08,262.639,270.416,106.083,570510.0,6.4,142913.0,19335.0
2021-02-01,0.08,1.26,263.573,270.776,106.471,555489.0,6.2,143422.0,19571.2
2021-03-01,0.07,1.61,264.847,271.453,107.032,616348.0,6.1,144246.0,19810.0
2021-04-01,0.07,1.64,266.625,273.626,107.632,622705.0,6.1,144611.0,20133.3
2021-05-01,0.06,1.62,268.404,275.457,108.184,615543.0,5.8,145032.0,20437.8
2021-06-01,0.08,1.52,270.71,277.608,108.748,622125.0,5.9,145828.0,20482.0
2021-07-01,0.1,1.32,271.965,278.639,109.275,612647.0,5.4,146759.0,20633.7
2021-08-01,0.09,1.28,272.752,279.021,109.72,616892.0,5.1,147246.0,20844.5
2021-09-01,0.08,1.37,273.942,279.727,110.047,620529.0,4.7,147712.0,20974.0
2021-10-01,0.08,1.58,276.528,281.649,110.741,630562.0,4.5,148569.0,21153.9
2021-11-01,0.08,1.56,278.824,283.411,111.51,637775.0,4.2,149206.0,21327.7
2021-12-01,0.08,1.47,280.806,285.221,112.221,632515.0,3.9,149781.0,21508.0
2022-01-01,0.08,1.76,282.542,286.799,112.776,644034.0,4.0,150006.0,21566.6
2022-02-01,0.08,1.93,284.525,288.256,113.489,650522.0,3.8,150875.0,21621.3
2022-03-01,0.2,2.13,287.467,289.044,114.489,664167.0,3.7,151346.0,21723.5
2022-04-01,0.33,2.75,288.582,290.474,114.845,673245.0,3.7,151651.0,21724.3
2022-05-01,0.77,2.9,291.299,292.039,115.542,671040.0,3.6,151892.0,21698.0
2022-06-01,1.21,3.14,295.072,294.009,116.631,675702.0,3.6,152353.0,21653.6
2022-07-01,1.68,2.9,294.94,295.08,116.662,671067.0,3.5,153049.0,21645.8
2022-08-01,2.33,2.9,295.162,296.582,117.002,675107.0,3.6,153286.0,21627.9
2022-09-01,2.56,3.52,296.421,298.281,117.377,673312.0,3.5,153513.0,21509.0
2022-10-01,3.08,3.98,297.979,299.381,117.891,681748.0,3.6,153913.0,21434.4
2022-11-01,3.78,3.89,298.708,300.316,118.221,673674.0,3.6,154210.0,21368.1
2022-12-01,4.1,3.62,298.808,301.433,118.403,666734.0,3.5,154336.0,21273.9
2023-01-01,4.33,3.53,300.456,302.685,119.007,693826.0,3.5,154780.0,21189.1
2023-02-01,4.57,3.75,301.476,304.097,119.401,686434.0,3.6,155086.0,21120.1
2023-03-01,4.65,3.66,301.643,305.123,119.553,679067.0,3.5,155171.0,20874.8
2023-04-01,4.83,3.46,302.858,306.49,119.97,683698.0,3.4,155387.0,20718.2
